,energy,latency,hw
0,1332837721.7999997,8824443,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 512, 512, 512, 64]]"
1,1332536783.4,8824605,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 512, 512, 2048, 64]]"
2,1332598102.6,8825181,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 512, 512, 4096, 64]]"
3,1330106831.3999999,8824605,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 512, 2048, 2048, 64]]"
4,1330168150.6,8825181,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 512, 2048, 4096, 64]]"
5,1330556107.4,8825209,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 512, 4096, 4096, 64]]"
6,1323924245.4,8775815,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 2048, 2048, 2048, 64]]"
7,1323933746.1999998,8775815,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 2048, 2048, 4096, 64]]"
8,1324321702.9999998,8775843,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 2048, 4096, 4096, 64]]"
9,1325957235.6000001,8775807,"['ascend_like', 16, [8, 16, 65536, 65536, 65536, 65536, 65536, 10000000000], [8, 16, 512, 512, 4096, 4096, 4096, 64]]"
